# Credits
Stiftung Innovation in der Hochschullehre,Stiftung Innovation in der Hochschullehre
Renaissance Philanthropy,Renaissance Philanthropy
AI for Math Fund,AI for Math Fund
# General story-line
Robo,Glifo
Formaloversum,Formaloverso
Leansch,Leanés
Formalosoph,formalósofo
#
# Inventory
Freunde und Verwandte,Amigos y familiares
#
# Planets and Characters
Babylon,Babilonia
Babylonier,Babilonio
#
Cantor,Cantor
#
Ciao,Ciao
#
Epo,Epo
Portier,bedel
#
Euklid,Euclides
#
Implis,Implis
Operationsleiter,Jefe de Operaciones
#
Iso,Iso
#
Logo,Logo
Logisinde,Loguinda
Querulant,liante
Schelm,granuja
#
Luna,Luna
Lina,Lina
Ritha,Rita
#
Mono,Mono
Monosoph,monósofo
#
Isosoph,isósofo
#
Piazza,Bazar
Ext,Ext
Fin,Fin
Mem,Mem
Set,Set
Sub,Sub
#
Prado,Prado
Guino,Güino
#
Quantus,Quantus
#
Robotswana,Etiopía
Tracy,Traci
#
Samarkand,Samarcanda
Arapuka,Arapuka
#
Saturn,Saturno
#
Spinoza,Espinosa
Benedictus,Benedicto
#
Vieta,Vieta
#
# Mathematics
Abbildung,aplicación
Abbildungsvorschrift,regla de correspondencia
Aufgabe,problema
Auswahlaxiom,axioma de elección
Beweisziel,objetivo
Urbild,preimagen
